date,ratio
20180826,0.77766129
20180827,0.77766129
20180828,0.773360215
20180829,0.765833333
20180830,0.772284946
20180831,0.785188172
20180901,0.771747312
20180902,0.757922427
20180903,0.738701997
20180904,0.722572965
20180905,0.719884793
20180906,0.715583717
20180907,0.715583717
20180908,0.715583717
20180909,0.715583717
20180910,0.715583717
20180911,0.709938556
20180912,0.725422427
20180913,0.731470814
20180914,0.723406298
20180915,0.735503072
20180916,0.735503072
20180917,0.708621352
20180918,0.723137481
20180919,0.743567588
20180920,0.773137481
20180921,0.773137481
20180922,0.778513825
20180923,0.759696621
20180924,0.769105223
20180925,0.779857911
20180926,0.804051459
20180927,0.804051459
20180928,0.814804147
20180929,0.806201997
20180930,0.806201997
20181001,0.791417051
20181002,0.788728879
20181003,0.802553763
20181004,0.821774194
20181005,0.837903226
20181006,0.848655914
20181007,0.848924731
20181008,0.848924731
20181009,0.838172043
20181010,0.827419355
20181011,0.843548387
20181012,0.853225806
20181013,0.853225806
20181014,0.861290323
20181015,0.841129032
20181016,0.821774194
20181017,0.821774194
20181018,0.848655914
20181019,0.858333333
20181020,0.850268817
20181021,0.839516129
20181022,0.822491039
20181023,0.806362007
20181024,0.825179211
20181025,0.825179211
20181026,0.825179211
20181027,0.821296296
20181028,0.810543608
20181029,0.787358124
20181030,0.797035544
20181031,0.791995221
20181101,0.801403823
20181102,0.806780167
20181103,0.806780167
20181104,0.806780167
20181105,0.779898447
20181106,0.763769415
20181107,0.764217443
20181108,0.764217443
20181109,0.774970131
20181110,0.780346476
20181111,0.769593787
20181112,0.748984468
20181113,0.736887694
20181114,0.736887694
20181115,0.765113501
20181116,0.784468339
20181117,0.768339307
20181118,0.768339307
20181119,0.752210275
20181120,0.738769415
20181121,0.749522103
20181122,0.766547192
20181123,0.779450418
20181124,0.771385902
20181125,0.749880526
20181126,0.730525687
20181127,0.729032258
20181128,0.739784946
20181129,0.76297043
20181130,0.769422043
20181201,0.757258065
20181202,0.757258065
20181203,0.749731183
20181204,0.744354839
20181205,0.741666667
20181206,0.766397849
20181207,0.782526882
20181208,0.786111111
20181209,0.775358423
20181210,0.749148746
20181211,0.75452509
20181212,0.765277778
20181213,0.785887097
20181214,0.792607527
20181215,0.792607527
20181216,0.783390937
20181217,0.763229647
20181218,0.779358679
20181219,0.779358679
20181220,0.795487711
20181221,0.81968126
20181222,0.81968126
20181223,0.806778034
20181224,0.793874808
20181225,0.791186636
20181226,0.812692012
20181227,0.819502048
20181228,0.813453661
20181229,0.813453661
20181230,0.793369176
20181231,0.777240143
20190101,0.7890681
20190102,0.794444444
20190103,0.812724014
20190104,0.814874552
20190105,0.813530466
20190106,0.804928315
20190107,0.804928315
20190108,0.804928315
20190109,0.815681004
20190110,0.841890681
20190111,0.841890681
20190112,0.831906042
20190113,0.831906042
20190114,0.81577701
20190115,0.791583461
20190116,0.800800051
20190117,0.820961342
20190118,0.814330517
20190119,0.814330517
20190120,0.808954173
20190121,0.792825141
20190122,0.792825141
20190123,0.805728367
20190124,0.805728367
20190125,0.816481055
20190126,0.816481055
20190127,0.805549155
20190128,0.806221198
20190129,0.806221198
20190130,0.823079877
20190131,0.831144393
20190201,0.836520737
20190202,0.820391705
20190203,0.797542243
20190204,0.787327189
20190205,0.780606759
20190206,0.791359447
20190207,0.787775218
20190208,0.787775218
20190209,0.787775218
20190210,0.773886329
20190211,0.749155146
20190212,0.753091398
20190213,0.746236559
20190214,0.767741935
20190215,0.791935484
20190216,0.783870968
20190217,0.765053763
20190218,0.75421147
20190219,0.748835125
20190220,0.75421147
20190221,0.770340502
20190222,0.770340502
20190223,0.770340502
20190224,0.775716846
20190225,0.75421147
20190226,0.75421147
20190227,0.777688172
20190228,0.78844086
20190301,0.78844086
20190302,0.791666667
20190303,0.774193548
20190304,0.774193548
20190305,0.790322581
20190306,0.813172043
20190307,0.826612903
20190308,0.837365591
20190309,0.837365591
20190310,0.814551971
20190311,0.798422939
20190312,0.798422939
20190313,0.805399386
20190314,0.818033794
20190315,0.824082181
20190316,0.83093702
20190317,0.83093702
20190318,0.809431644
20190319,0.806743472
20190320,0.825560676
20190321,0.843033794
20190322,0.848410138
20190323,0.848410138
20190324,0.826904762
20190325,0.807549923
20190326,0.793571429
20190327,0.791420891
20190328,0.796797235
20190329,0.796797235
20190330,0.796797235
20190331,0.796797235
20190401,0.796797235
20190402,0.780668203
20190403,0.806205837
20190404,0.795453149
20190405,0.795453149
20190406,0.795453149
20190407,0.795453149
20190408,0.795453149
20190409,0.795453149
20190410,0.821850998
20190411,0.837980031
20190412,0.837980031
20190413,0.833064516
20190414,0.820455709
20190415,0.804326677
20190416,0.804326677
20190417,0.802176139
20190418,0.823681516
20190419,0.812928827
20190420,0.802176139
20190421,0.802176139
20190422,0.794111623
20190423,0.794111623
20190424,0.815616999
20190425,0.834971838
20190426,0.838197645
20190427,0.836166581
20190428,0.852295614
20190429,0.852295614
20190430,0.852295614
20190501,0.852295614
20190502,0.852295614
20190503,0.868424646
20190504,0.868424646
20190505,0.858747226
20190506,0.858747226
20190507,0.858747226
20190508,0.834553678
20190509,0.834553678
20190510,0.828102065
20190511,0.81427718
20190512,0.806212664
20190513,0.790083632
20190514,0.801911589
20190515,0.82661717
20190516,0.842746202
20190517,0.842746202
20190518,0.84489674
20190519,0.83629459
20190520,0.843463048
20190521,0.854215736
20190522,0.854215736
20190523,0.862280253
20190524,0.851527564
20190525,0.828946919
20190526,0.80974569
20190527,0.815122034
20190528,0.817153098
20190529,0.817153098
20190530,0.81312084
20190531,0.81312084
20190601,0.81312084
20190602,0.797759857
20190603,0.781630824
20190604,0.781630824
20190605,0.793996416
20190606,0.793996416
20190607,0.793996416
20190608,0.81281362
20190609,0.7859319
20190610,0.792383513
20190611,0.806208397
20190612,0.806208397
20190613,0.82233743
20190614,0.82233743
20190615,0.82233743
20190616,0.82233743
20190617,0.82233743
20190618,0.82233743
20190619,0.83093958
20190620,0.83452381
20190621,0.83452381
20190622,0.818394777
20190623,0.79765745
20190624,0.808410138
20190625,0.814861751
20190626,0.83406298
20190627,0.839439324
20190628,0.848758321
20190629,0.832629288
20190630,0.81938044
20190701,0.81938044
20190702,0.81938044
20190703,0.834741423
20190704,0.833247995
20190705,0.833247995
20190706,0.82677078
20190707,0.82677078
20190708,0.82677078
20190709,0.821394436
20190710,0.848276156
20190711,0.848276156
20190712,0.848276156
20190713,0.850247483
20190714,0.850247483
20190715,0.850247483
20190716,0.850247483
20190717,0.850247483
20190718,0.850247483
20190719,0.850247483
20190720,0.850247483
20190721,0.861000171
20190722,0.861000171
20190723,0.877129203
20190724,0.89786653
20190725,0.89786653
20190726,0.913995562
20190727,0.905931046
20190728,0.905931046
20190729,0.903466889
20190730,0.919595921
20190731,0.936877027
20190801,0.936877027
20190802,0.936877027
20190803,0.936877027
20190804,0.938370456
20190805,0.938370456
20190806,0.94484767
20190807,0.94484767
20190808,0.94484767
20190809,0.955600358
